alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,beta1,beta2,beta3,beta4,beta5,lambda0,sigma2,xi
2.471453918503728,-2.825947329784174,-1.856665237475433,-2.1974659676513615,-1.5242438434189647,-2.288133617060882,12.91816447594858,56.43643954274066,-4.160868238635464,-14.903330066741738,21.738117985899045,4955.4728554794465,0.17633715033827874,-0.008558654287731058
2.470019331707769,-2.9531428027652153,-1.918661085744704,-2.07054064651316,-1.585898449477283,-2.4579003905447214,12.91302258476897,56.40825208350921,-4.0414940347503965,-14.79899300423698,21.75139857405421,4939.289347654838,0.1793679196771847,-0.00851484141368839
2.4679211735863364,-2.315650879344037,-2.274841068022962,-1.5673792807667912,-1.6314051482286351,-2.6583074005007217,12.87417823902603,55.965729820384226,-4.155916795594991,-14.724322211171398,21.75789459566447,4978.573812796516,0.17652601299771767,-0.008378380939378711
2.453555173438766,-2.2473327060702726,-1.5215166432374996,-2.0703535274906724,-1.5167431151964237,-3.0639363926960748,13.058443396765133,56.09426679559166,-4.262670987062345,-14.948420822071052,21.684847819221538,4960.725467111125,0.17739018453626879,-0.008134652146594677
2.4511339284296687,-2.1944239245168937,-2.065186528563706,-1.6564933779829805,-1.8718254890712045,-1.8300182763409176,12.943186180251947,56.37541032753989,-3.989192742351055,-14.897237547272454,21.669599450409954,4958.270443282293,0.17368252976733306,-0.008199333024356147
2.4420699305990548,-2.2057448427183495,-1.930313417300404,-1.1971397215508168,-2.3751793663417597,-1.3977786300165531,13.052560367155406,56.46108289010207,-4.231356208941099,-14.736466356599447,21.652732272437085,4868.734113761895,0.17358213015787993,-0.007803563790163316
2.4471489323419457,-1.5250202168971707,-1.880994898153463,-1.2736217902438876,-1.484211564906764,-2.55214520874131,13.05108298626653,56.52803397525147,-4.257634129356194,-14.698572561677496,21.57391555548105,4883.682547743408,0.17624915066220234,-0.008668763982955009
2.451720407763135,-1.2367036832341307,-2.316569700297272,-0.7207081389003503,-1.7354922599807283,-2.5867772026502944,12.9197229597948,56.197699083821966,-4.23459667250266,-14.695945534661327,21.537274851794624,4983.1703396995745,0.17934547427341785,-0.008717846537519834
2.451848212560573,-1.9514529832216894,-1.5670116486902161,-1.4446758224099001,-2.111176684020539,-2.1281141527345153,12.866591034444596,56.37555875777803,-4.266128572734638,-14.820206653441412,21.588308412017177,5014.749679199061,0.17852987195486159,-0.0086772025474114
2.453535669261809,-2.332370652355984,-1.7896850203698935,-1.3404134415290638,-1.9734329865179794,-2.2452241594603115,13.052379469818582,56.506253081074924,-4.323613085123281,-14.776780971928607,21.514636389153324,4964.3593032976005,0.1763984189329106,-0.008465172202031659
2.455728598173685,-1.9410346586789262,-1.8037473074394723,-1.6309587976541597,-2.1372985360486125,-1.743751174158377,13.031614711268066,56.19451590809799,-4.389073535667182,-15.029220569349825,22.205291436861128,4889.599717083723,0.17687456997229598,-0.008573058114676325
2.438124833219889,-1.9305163915146157,-1.7265134667262398,-1.1115291180184548,-1.8566992476250699,-1.37909448752028,12.98163481107008,56.191945001490424,-4.260136725388482,-14.968023049917948,21.972021864975474,4900.861330934181,0.17782825545667652,-0.008512057611413023
2.438549082130272,-1.6123332945589564,-2.053700158148854,-0.7953475858292154,-1.3278966207520404,-2.1306888608430627,13.056300369486044,56.84402508235829,-4.300756616100935,-14.997507776915182,22.045503886685555,4822.323785169522,0.1727297202046175,-0.008237893381425984
2.445735594595781,-2.059898639443209,-1.8237019514732897,-1.0436264666597785,-1.5142986590675063,-2.046429832908652,13.28350036373777,56.89339683934376,-4.481108798058093,-15.115471133718634,21.867552438565934,4784.015259951179,0.1741117278826521,-0.008760833435920256
2.4502811651907654,-1.9372292071340231,-1.8723527507785118,-1.2566381289785002,-1.5625291370383145,-1.7340161935549303,13.184730557628974,56.96367318506462,-4.632768506654761,-15.072170016172834,21.77392237873365,4896.661011038618,0.17518201108662368,-0.00854112999339549
2.448260887570703,-1.8079751116900398,-1.9740969113476474,-1.3608295943123903,-1.9547983690148212,-1.8890528123697234,13.138506015647884,56.62360421449751,-4.265842075120348,-15.043371582052762,21.726961914837553,4902.733646981344,0.171433269849922,-0.008594427725867815
2.4385999465594272,-2.696100590068201,-1.9492246487005067,-0.7219769395571409,-1.6212973924591978,-1.5480244338483355,12.959753086566138,56.49858152440264,-4.108013687713305,-14.759176932256105,21.47077259817598,4897.909086410644,0.1715740035568988,-0.008427325494308413
2.441477286291339,-2.331226022541085,-1.9510449354589117,-1.073439719815583,-1.93894690968905,-0.9772979624932573,12.95211823510614,56.04550621086876,-4.434232281201377,-14.734171599854665,21.732917673437004,5037.415704010709,0.17163389952322455,-0.00856808749847481
2.452379863263784,-1.7532044573070247,-2.3036858771388546,-1.2061921246490737,-1.927840240131675,-1.9573786834870128,12.928421272716085,56.12066572132301,-4.298643854464226,-14.802358961410775,21.663031672453485,5056.348128043698,0.17319384649463807,-0.008411703408619178
